Hotel_Name,review_title,review_positive,review_negative,Reviewer_Score,date
"
Hotel
Fitz Roy Urban Hotel, Bar and Garden
","
Very good
","Dinner and breakfast was perfect! Beautifully served and it was delicious.
Super nice location!","The room was a bit cold and the building could use a renovation.
And there was only one chair in the room.", 8.0 ,"
November 2020
"
"
Hotel
Fitz Roy Urban Hotel, Bar and Garden
","
Very good
",design,, 8.0 ,"
August 2020
"
"
Hotel
Fitz Roy Urban Hotel, Bar and Garden
","
Good hotel a bit pricey 
","Size of the room, beds and location ","Price too high and accesses. Small elevator, corridors etc made it hard to handle a stroller ", 8.0 ,"
October 2020
"
"
Hotel
Fitz Roy Urban Hotel, Bar and Garden
","
Very nice place to stay for a city trip
","Well appointed hotel, very close to market place and restaurants
Spacious room, nicely decorated bar, very good breakfast
Super clean and well aware of COVID protection measures",, 9.0 ,"
October 2020
"
"
Hotel
Fitz Roy Urban Hotel, Bar and Garden
","
Amazing stay! 
","Lovely boutique hotel with beautiful interiors and friendly staff. Location was great, within the centre making everything easily accessible. Would recommend! Parking is affordable for 21€ per day. Breakfast was delicious with great options! ",, 8.0 ,"
September 2020
"
"
Hotel
Fitz Roy Urban Hotel, Bar and Garden
","
Great stay in the centre of the city
","The location is just great, close the heart of the city and at the same time on a more quite street with a few nice cafes very close by. 
The interior is cozy and stylish, very pleasant to look at and also functional. Staff is very positive and relaxed. 
For sure will stay here again - great value for money. ",, 10 ,"
August 2020
"
"
Hotel
Buitenplaats Vaeshartelt
","
Exceptional
","This hotel is located in old castle building - so, it was amazing! We feel ourselves as ""100 years-ago travelers"" but with modern comfort and abilities. 
Everything is all around are really beautiful: lobby, garden, window's view...
And of course BIG RED CAT! This is hotel's cat and it is soooo nice!",, 10 ,"
August 2019
"
"
Hotel
Buitenplaats Vaeshartelt
","
Very good
",Nice room,"During the night, the heat was off :( . I was traveling with a 3 months baby and it was very very cold in the room!!!! 
The personel of the reception looked at us as if we had some kind of disesses, i understand there is a virus out there, but in the end we were  haveing a NEGATIVE test, not the personel!! Very roud to practacly avoid people, is just a flu anyway! ", 8.0 ,"
March 2021
"
"
Hotel
Buitenplaats Vaeshartelt
","
Relaxing.
",Corona proof measures and location.,No loading facility for electrical car., 9.0 ,"
February 2021
"
"
Hotel
Buitenplaats Vaeshartelt
","
Wonderful wonderful location, beautiful setting, could be even better with basic room facilities!
","Absolutely loved the location, the green all around and the hotel decor! The staff were very friendly and even though the food options were limited, it was great!","Was very surprised that there were no water boiling kettle or tea in the room (which is quite standard!) and especially in COVID 19 times, it would make sense to keep basic facilities such as kettle, cups, a fridge et all in the room. Afterall, guests are spending time in the room more than restaurants and we had to repeatedly order hot water, tea, coffee with charges. We order a double bed and the bed came with two joined up mattresses which meant that we would have a ditch in between which really hurt my back.", 7.0 ,"
February 2021
"
"
Hotel
Buitenplaats Vaeshartelt
","
Good
",The main building is impressive and well maintained. The old restaurant area and the bar are beautiful.,"The room was very small, basic and quite cold. The ballroom for dinner was very modern and not as beautiful as the other restaurant room. The staff was generally slow, not prepared at all on the dishes served at the restaurant, they didn't know the attractions close by, how to reach places, bike tours etc. so we had to google everything.", 7.0 ,"
December 2020
"
"
Hotel
Buitenplaats Vaeshartelt
","
Great weekend escape location
","Great location for nature walks, good breakfast. Comfortable rooms",Not particularly, 9.0 ,"
November 2020
"
"
Hotel
Buitenplaats Vaeshartelt
","
Superb
","Location, restaurant and general setup","In room amenities, no coffee maker, no water......", 9.0 ,"
December 2020
"
"
Hotel
Buitenplaats Vaeshartelt
","
Superb
",Wonderful central location.,Missing a kettle and tea and coffee in the room and maybe a mini fridge., 9.0 ,"
November 2020
"
"
Hotel
Buitenplaats Vaeshartelt
","
Good
","Pretty garden, beautiful restaurant.",room facility rather old. maintainess not good enough., 7.0 ,"
November 2020
"
"
Hotel
Buitenplaats Vaeshartelt
","
Pretty gardens and amazing food 
","Beautiful gardens
Nice staff
Delicious food
Luxurious bar ",Room was quite basic , 8.0 ,"
November 2020
"
"
Aparthotel
Urban Residences Maastricht
","
Exceptional
",Excellent location Excellent apartment ,There were to many Stairs If you have any mobility problems you need to ensure you request lower floors as there are no lifts , 10 ,"
July 2019
"
"
Aparthotel
Urban Residences Maastricht
","
Superb
","Perfect location, just by the main square. Huge rooms, minimalistic decoration, very clean.
Very friendly and flexible staff.",, 9.0 ,"
February 2021
"
"
Aparthotel
Urban Residences Maastricht
","
Great location
",The room was very spacious and light and we had a nice view on a small square. Staff was very nice in welcoming us and providing tips for breakfast to go in the area.,"The kitchen missed some useful utensils, like cutting boards. Just a small investment in the kitchen, to ensure there are enough plates and utensils would be the final touch.", 8.0 ,"
February 2021
"
"
Aparthotel
Urban Residences Maastricht
","
Very good
",Great location for walking around. Close to a big square full of cafes/restaurants and next to shopping streets. Friendly staff,No curtains in living room., 8.0 ,"
November 2020
"
"
Aparthotel
Urban Residences Maastricht
","
Good service.  Great location and well equipped appartment.
",Great location.  Very good and useful amenities in kitchen.,The bathroom/toilet is next to the bedroom (upstairs) which means you have to climb stairs every time you need to wash your hands or go to the toilet.  Other than that the balcony was beautiful but  there was a couple of pigeons living there and did not feel like invading their territory! A microwave would have been useful., 9.0 ,"
January 2021
"
"
Aparthotel
Urban Residences Maastricht
","
Superb
","Nice, friendly, clean, central - recommend ;)",, 9.0 ,"
January 2021
"
"
Aparthotel
Urban Residences Maastricht
","
Excellent location and modern comfort
",High quality and design of furniture and Kitchen. Exceljent location,Bed was not very comfortable as you tend to roll to the middle of the double bed., 9.0 ,"
January 2021
"
"
Aparthotel
Urban Residences Maastricht
","
Superb
","Modern, well equipped and well maintained apartment.
Good location. 
Spacious. 
Good offer of parking option near apartment. ",There were some candies on the floor in the living room. So cleaning could be better , 9.0 ,"
January 2021
"
"
Aparthotel
Urban Residences Maastricht
","
Overall apartment is nice, but certainly it is overpriced.
",Location is really great. Staff is also really helpful.,"Booking is a bit misleading. You see nice apartment with a balcony and this is what you expect. After arrival both me and my wife were slightly disappointment with the room. Its big and spacious, but spread over 2 floors. Its decorated in white which can remind you hospital :-) We could not operate some of the lamps, so as heating. 
Plus you get around 5 emails form the owner before your arrival. In the end even they got lost thinking I still wanted their parking (which I cancelled after a couple of days from initial request).", 8.0 ,"
December 2020
"
"
Aparthotel
Urban Residences Maastricht
","
Very good
","Very clean and beautiful apartment, friendly stuff and super location.","On top of big bed was 2 small madrases that was really uncomfortable ( keep going apart ) 
And would have loved to open a window at least a little bit but in our apartment there was no option like that. ", 8.0 ,"
November 2020
"
"
Hotel
Hotel Van der Valk Maastricht
","
We always look forward to staying at the Maastricht Valk Hotel; remodel is fabulous!
",Everything was amazing! The front desk staff was most attentive and caring.,, 10 ,"
September 2020
"
"
Hotel
Hotel Van der Valk Maastricht
","
Good
","Plenty parking (free), location to highway","No balcony or terrace (to have a smoke), cooling/heating system was poor", 7.0 ,"
February 2021
"
"
Hotel
Hotel Van der Valk Maastricht
","
Friendly and helpful
",They offered me options for diner and breakfast. The hotel called me to make sure I was going to stay or not due to the current situation. ,The shower head was a bit clogged but still functional. , 9.0 ,"
December 2020
"
"
Hotel
Hotel Van der Valk Maastricht
","
Loved it!
","We loved our stay, the hotel itself is beautiful. And every room in the hotel was just refurbished and I must say, they are magnificent. We had a Deluxe room with a bath, shower and balcony. ","The balcony had a bad view, you looked right at the roof of the hotel which was a shame, now of course we didn’t book any view with our room. ", 9.0 ,"
November 2020
"
"
Hotel
Hotel Van der Valk Maastricht
","
Perfect and comfortable design hotel in Maastricht
","Design of the rooms , comfort, beds, free parking , design of the restaurants , value for money nice food, free wellness and pool","Price on Booking way higher than direct 
Breakfast not bad (nice bread) but overpriced 
Not walking distance to city center (no problem for me )", 9.0 ,"
October 2020
"
"
Hotel
Hotel Van der Valk Maastricht
","
great
",service,bed matras was hard, 8.0 ,"
October 2020
"
"
Hotel
Hotel Van der Valk Maastricht
","
Rooms a good standard, hotel staff helpful and friendly. Restaurant  disappointing.
",We had dinner on Saturday and was very disappointed. They forgot our starters and just brought our main meal. We also waited a long time to be asked if we wanted more drinks and needed to ask twice before we recieved a refill Food was warm not hot but well presented  which was a shame.,"Yes, restaurant. Forgetting starters and bringing out main course shows lack of organisation, food warm not hot says the dish has been standing/ waiting to be served to long. Checking on guest for drink refills and if all is good would be an idea.", 7.0 ,"
September 2020
"
"
Hotel
Hotel Van der Valk Maastricht
","
Super  verblijf
",Alles was  perfect super,, 9.0 ,"
September 2020
"
"
Hotel
Hotel Van der Valk Maastricht
","
Overall beautiful hotel, nice rooms, breakfast could be included, check in more flexible.
","The room and SPA (swimming pool, several saunas) were very nice. Great, big bathtub in the room, which was spacious with a view to the street.","Paying for breakfast 17.5 eur seemed not worth it - could be included in the room price (which was not cheap already). Also checking in a bit earlier (I arrived at 1 and the check in was from 3pm but they did not even check if the room is maybe already ready). So overall good facilities, nice rooms but could be with breakfast and the staff could go a little extra mile for 4 start hotel.", 8.0 ,"
August 2020
"
"
Hotel
Hotel Van der Valk Maastricht
","
Short stay in lovely room
","Room was very tastefully decorated, bed was comfy and all was very clean. Bike rental was much appreciated. Rode to “Mama” and managed to have a good coffee there. Night was peaceful: no church-bells!! ","Very expensive breakfast and not possible to have a coffee until 11:00 (after breakfast in served). This is not good in particular because there is nothing in the surroundings. Pool was massively overcrowded even if access was by reservation only. No one was checking, so it was a free for all. Irresponsible these covid times.", 7.0 ,"
August 2020
"
"
Hotel
Hotel de la Bourse
","
Great Stay!
","Cost, that was exceptional considering your location.
Room was clean and tidy, is basic, but is very comfortable. It's a charming place. We had a lovely view directly onto Market Square, with City Hall...bells chiming!!
Location, was absolutely wonderful!! Its central, so you can walk anywhere.
Restaurant-has as great food at good prices.
Staff are brilliant-are friendly and welcoming...I'd like to thank Guido, he went out of his way to help us by bringing an iron from home! (hotel ones were all being used)
",Not a single thing to complain about!!, 10 ,"
July 2019
"
"
Hotel
Hotel de la Bourse
","
Superb
","The room is clean, friendly staff, and the location of the hotel is right at the centrum so the weekly market (I stayed on a Friday) was in front of the hotel! great location 👍",, 9.0 ,"
February 2021
"
"
Hotel
Hotel de la Bourse
","
Loved my stay!
","I loved the interior and the room was very clean. Also, the shower had great water pressure and the bed was very comfortable. ","The only thing I wasn’t much of a fan of was that the bathroom was quite cold, but does heat up pretty quickly after showering. ", 9.0 ,"
February 2021
"
"
Hotel
Hotel de la Bourse
","
Very good
",all,nothing, 8.0 ,"
November 2020
"
"
Hotel
Hotel de la Bourse
","
Superb
",Location,, 9.0 ,"
December 2020
"
"
Hotel
Hotel de la Bourse
","
Superb
","Location, cleanliness, friendly staff",Nothing, 9.0 ,"
November 2020
"
"
Hotel
Hotel de la Bourse
","
Excellent staff! 
","Room was very clean, I asked for a room with a balcony which I’ve had, perfect view! The staff was very friendly. Had a great stay.
",, 9.0 ,"
October 2020
"
"
Hotel
Hotel de la Bourse
","
Very good
","Core of the city, very nice restaurant down stairs. Great alternatives also around.
Hotel staff will make you feel at home.
Fair price","It's just an old building, as it is common in Europe. I don't believe they could improve that much and keep a reasonable price as it is.", 8.0 ,"
September 2020
"
"
Hotel
Hotel de la Bourse
","
Superb
","We liked the location, a lot of nice things are reacheable within a walking distance. Nice size room, lovely balcony. Staff was friendly and helpfull, the lady at the bar made delicious coffee. ","Extremely noisy, but that's what you get for being in the city centre. Walls are thin too, you hear everything around. Breakfast was very chaotic - as a hotel guest you dont expect that anyone from the street can just come in for a breakfast (which is handy if you are not a hotel guest and you are looking for a place to get some breakfast for a good price). There were so many people standing in lines (not a hotel guests) that it was impossible to get to the food or have some privacy around the table. 
Also a funny thing - there were ""cups for youghurt"", but no youghurt itself, only milk. ", 9.0 ,"
July 2020
"
"
Hotel
Hotel de la Bourse
","
Very good
",perfect in het centrum,, 8.0 ,"
September 2020
"
"
Apartments
Dormio Resort Maastricht Apartments
","
Exceptional
","Everything else was perfect, really liked to sit outside at the fire place on our terrace. ","missing of waste bag, dish washer powder, kitchen towel, sponch, Toilettries, although stated in description.. if known that not available, would have not been a problem, would have brought it from home, but having to buy it on 1 WE-stay, waste of time. ", 10 ,"
December 2019
"
"
Apartments
Dormio Resort Maastricht Apartments
","
Exceptional
","The location, cleanliness, friendly stuff. Already recommending to other friends.",NA, 10 ,"
February 2021
"
"
Apartments
Dormio Resort Maastricht Apartments
","
Nice resort for families
","Nice apartment, easy to acces also by car, nice playgrounds for kids. And nice views. ","Clean apartment, but floors don’t seem to be wiped, only hovered. 
Microwave didn’t work, light in bathroom was broken and safe didn’t work. Reception said i had to look up the manual of the safe, which isn’t on their website, and also not in the apartment. They fixed the light, but the rest wasn’t fixed. ", 8.0 ,"
February 2021
"
"
Apartments
Dormio Resort Maastricht Apartments
","
Fabulous family getaway, staff could not have been nicer!
","Everything. Sitting, relaxing, rented bikes...rode all the way to Valkenburg, we were happy to have ebikes as there are lots of hills.","Only thing to report was that booking says no pets, so we left our dog at home. Upon arrival everyone had dogs. This is a dog friendly resort, with 75% of the rooms being for pet families. Wish we had asked.", 10 ,"
February 2021
"
"
Apartments
Dormio Resort Maastricht Apartments
","
Family long weekend away
","Indoor Pool - great for kids
Ability to explore the grounds and wander between the different play areas with the kids was fantastic 
Apartments - clean, new and functional ",Beds were very uncomfortable - only downside regarding the accommodation. , 8.0 ,"
October 2020
"
"
Apartments
Dormio Resort Maastricht Apartments
","
Good
","How location die cycling, walking. 
Esp. Convenient of you have a car to go to the supermarkets and outside Maastricht for short trips.
Good place for families.",For a week stay we would have appreciated at least once change of towels., 7.0 ,"
September 2020
"
"
Apartments
Dormio Resort Maastricht Apartments
","
Very good
","Very nice apartment.
Quite surroundings","Aircondition and a normal coffee machine with filter  would have been nice. 
In general the area is surrounded by golf courses, where you can´t walk. So only possibility was to walk by the road to Maastricht.
The Site is not very central to Maastricht city, we measured app 6 km by car.
So if you are a Golfer, or a family with kids up to 10 years, the site is OK for you, everybody else….., well prepare to start your car everyday if you are going to the city.", 8.0 ,"
August 2020
"
"
Apartments
Dormio Resort Maastricht Apartments
","
Fabulous
","The property is new & well maintained. Very clean, the decor  simple & stylish. We had a fully equipped kitchen - basic supply of utensils, pots & pans, plates and glasses in very good condition. 
Our three bedroom apartment was very comfortable with a large dinning table with chairs, lounge area - tv area, one spacious bathroom & two toilets which came in handy with a large family. The hydronic heating worked well & served our family well especially on the cold days. 
The staff were friendly and helpful. We had a wonderful time & highly recommend but next time we may consider hiring a car. ",Mattress is new but too soft. Not enough back support - latex mattress?  The accomodation was a bit far from Maastricht city centre. From the apartment we needed to walk about 30 - 40 mins into town or a taxi - 10 min drive about 20 - 25 euros in a van one way (for 6 people). From airport & main train station expect to pay more for taxi. Ask reception for more information - they know roughly what taxis charge. , 8.8 ,"
December 2019
"
"
Apartments
Dormio Resort Maastricht Apartments
","
Superb
","Good location,  great pool for kids, good area foe walks etc.",n/a, 9.0 ,"
January 2020
"
"
Apartments
Dormio Resort Maastricht Apartments
","
Exceptional
",Efficiency,, 10 ,"
December 2019
"
"
Hotel
Select Hotel Apple Park Maastricht
","
Exceptional
","Great hotel with good service, especially the shuttle bus to central, very convenient ",, 10 ,"
August 2019
"
"
Hotel
Select Hotel Apple Park Maastricht
","
Good
",,The parking turned out to be 15 Euro in real for nothing., 7.0 ,"
February 2021
"
"
Hotel
Select Hotel Apple Park Maastricht
","
Kind personnel.
",Good breakfast and coffee. Fast check in.,Noise of air conditioning and a broken fridge., 8.0 ,"
February 2021
"
"
Hotel
Select Hotel Apple Park Maastricht
","
Good, and comfortable room
",Clean and Warm,The sink didnt have a plug! There were no Tea/Coffee facilities in the room., 8.0 ,"
January 2021
"
"
Hotel
Select Hotel Apple Park Maastricht
","
Super nice staff
",Amazing,Only wish we had an extra blanket was a bit cold at night, 9.0 ,"
December 2020
"
"
Hotel
Select Hotel Apple Park Maastricht
","
Suggested
",The room was nice and clean and we had a nice dinner at the restaurant. They gave us the Free parking even on the last day. The Corona rules were fully respected in each area of the Hotel,The room was a bit cold and we couldn't put the temperature higher. No fridge in the room, 8.0 ,"
December 2020
"
"
Hotel
Select Hotel Apple Park Maastricht
","
very good and confortable hotel in Maastricht
","location very good. service perfect for a business hotel. People at the recepiton very kind and professional.
Good restaurant and free parking. Room very clean.",breakfast not avaliable for covid restriction ( we had to book it but not any available place), 8.0 ,"
October 2020
"
"
Hotel
Select Hotel Apple Park Maastricht
","
Great modern hotel in excellent location
","I enjoyed the modern design of the hotel, the comfortable bed and the breakfast buffet. Parking was free if charge across from the hotel.
This hotel has an excellent location; 5 minutes by car from the city centre and 2 minuten from the main highway.
Very good  price.",, 8.0 ,"
October 2020
"
"
Hotel
Select Hotel Apple Park Maastricht
","
Very good
","Clean nice size rooms, excellent hot shower, location was good. ","We were disappointed in the breakfast buffet. Scrambled eggs were cold. Very average breakfast, not worth the price.", 8.0 ,"
September 2020
"
"
Hotel
Select Hotel Apple Park Maastricht
","
Very good
","Bar staff was great and check in staff.
Parking was free for Booking.com members.
",Price was very high for basic room and hotel., 8.0 ,"
August 2020
"
"
Hotel
Landgoed Kasteel de Hoogenweerth
","
Exceptional
",Spacious apartment just outside of the city centered surrounded by nice outdoor space and walking options. Super friendly and accommodating staff,, 10 ,"
November 2020
"
"
Hotel
Landgoed Kasteel de Hoogenweerth
","
Beautiful setting and rooms, very nice staff!
","The location is very nice! In the outskirts of the city, with a beautiful forest and marina next to it. Very spacious, nice decoration, clean, cozy and really kind staff. Not sure if a car is a must? about 10 mins drive from the city center.","The temperature control was a little bit tricky. For the bedroom to be warmish, the living room had to be super warm. And the lights in the living room are nice and cozy, but can be too dark if you want to read or knit, etc in the evening. Definitely a point to improve.", 8.0 ,"
December 2020
"
"
Hotel
Landgoed Kasteel de Hoogenweerth
","
Very good
","Lovely location, very romantic. The dinner in the castle was amazing. ",A bit difficult to get the room heated as it was so big. , 8.0 ,"
November 2020
"
"
Hotel
Landgoed Kasteel de Hoogenweerth
","
Great and highly recommended
","Kasteel hoogenweerth is a combination of class, tranquility and great service. It doesn't hurt that the location is only 5 min drive from the city centre and well connected by a bus. We booked the deluxe room which was extremely clean and exuded luxury and had its own private entrance. The kitchen had 4 hobs, espresso machine and was well equipped with cutlery.The staff was really friendly and available and acted on any feedback very quickly. Due to corona most of the restaurants were closed, so we were happy to eat at their pop-up restaurant. We had dinner here 2 nights in a row, one of them being the opening night. We requested vegetarian menu which they happily accommodated, even though it took them 2 tries to get the quantity right. Overall highly recommended and would definitely come back.",There were cobwebs in the room as its an old castle but they were promptly removed. The pop-up restaurant took two tries to get our food right, 9.0 ,"
November 2020
"
"
Hotel
Landgoed Kasteel de Hoogenweerth
","
Beautiful spot 
","Pretty much everything! Very convenient that the suite has a kitchenette, specially these days that the horeca is closed due to the pandemic.","Just a couple of tips:
-the kitchen could be a bit more equipped, more cutlery and dishes, kitchen towels and cleaning stuff.
-in the upper floor of our suite there was an Eames chaise long placed randomly under a bar for hanging clothes. That made the room look a bit like a very expensive storage attic.
", 9.0 ,"
October 2020
"
"
Hotel
Landgoed Kasteel de Hoogenweerth
","
Maastricht in Style
","Chic Stylish rooms and setting . Green spaces and close to city
The restaurant SOFA was perfect too.",Parking a bit cramped but the one for restaurant is very close and easy, 9.0 ,"
September 2020
"
"
Hotel
Landgoed Kasteel de Hoogenweerth
","
Superb
","Great breakfast basket and outdoor seating in garden on river Maas border (nice weather provided....), room airco, historic atmosphere",, 9.0 ,"
August 2020
"
"
Hotel
Landgoed Kasteel de Hoogenweerth
","
Very good
","The room was very spacious, even bigger than expected with two bedrooms in it, beds were comfortable. Breakfast is brought to the room because of COVID19, and has quite a lot of things, I liked it (I prefer this over a buffet to be honest). There is a small natural area nearby with some wild horses, nice to have a walk.","The bathroom was tiny. The minibar only has a few drinks, wouldn't call it a minibar. Breakfast was too expensive for what we got. The couch in the bedroom wasn't looking clean and had a small stain on it. The floor with the bedrooms was very hot and stuffy and there was no way to keep the ceiling window open to let the fresh air in (there's an AC to cool it down, but it will still be stuffy). What I didn't like was that it wasn't actually possible to see the castle even from the outside, as the territory is gated, despite no ongoing event in sight (and all that while they put castle pics on the hotel website). :(", 8.0 ,"
July 2020
"
"
Hotel
Landgoed Kasteel de Hoogenweerth
","
Modern in style
","The place is very beautiful, the gardens around, the marina, the river, everything.
The room looks just amazing, great decoration, spacious, the bathroom is also great.","Despite the fact that it has a kitchen, it feels as it is not really expecting anyone to cook there. It is more for drinking.
No large plates and very basic cooking utensils, like a spatula, is not present.
The blinds are not dark enough for the Dutch summer.", 9.0 ,"
June 2020
"
"
Hotel
Landgoed Kasteel de Hoogenweerth
","
Superb
",The garden and the quiet surroundings,"Bedroom on first floor, disconnected from bathroom, en-suite is preferred.", 9.0 ,"
June 2020
"
"
Hotel
Amrâth Grand Hotel de l’Empereur
","
Exceptional
","Clean and spacious rooms. Comfortable beds, very helpful staff. ",, 10 ,"
January 2020
"
"
Hotel
Amrâth Grand Hotel de l’Empereur
","
Beautiful grand hotel with lovely staff in an excellent location, right next to the train station.
","Very good arrangements to keep everyone safe during the pandemic. 
The breakfast was amazing. 
Lovely, helpful staff. 
Old-fashioned, grand hotel with good facilities.","Open WiFi.
Not enough teabags in the room (1 English breakfast & 1 Early Grey). Extra will be provided on request, but I think 2 teabags is a poor baseline.", 9.0 ,"
January 2021
"
