Hotel_Name,Review_Title,Review,Reviewer_Score,date
Park Plaza Westminster Bridge London,Miss,"Stayed here a number of times and i really enjoyed it. Nice ambiance, lovely poliet and friendly staff. Nice food. Just beautiful. But the staff makes the difference- impeccable character.Great really enjoyed it.",40,February 2021
Premier Inn London County Hall hotel,Exemplary for all the wrong reasons....,"This Premier Inn is at the pinnacle of its game. The greeting from the front of house staff and duty manager, in particular, is astonishingly consistent. Anyone in the hospitality industry should look at this hotel as exemplary in how not to deliver customer service. My family and friends have experienced this exceptional low quality over several visits. Due to our last visit free diving to a whole new level of unhelpful attitude and rudeness, we have discovered a world of inspiring, joyful welcoming people who are genuinely pleased that you chose their hotel for your London layover. All within a stone's throw of this hotel and at reasonable rates.  A list of endless failings and disappointment sums this hotel up.   London and every other city for that matter are full of lovely",10,October 2020
Premier Inn London County Hall hotel,Lovely hotel!,"Lovely hotel, we had one of the premier rooms and this didn't dissapoint at all, spacious, clean and with a lovely view over the London Eye.  Completely central to Waterloo train station and tube, with Westminster tube a five minute walk away.  Hotel staff were helpful and friendly with everything.  My only criticism was the scrambled eggs for breakfast were far too mashed and runny.... resembled porridge more than eggs.  Overall, lovely hotel, would highly recommend 👌 ",50,October 2020
Premier Inn London County Hall hotel,Cold room,Nice place having stayed a few times very disappointed this time the room temperature was set to 17 degrees who lives at 17 degrees our home temperature is 21 degrees so you can see we were very disappointed sorry to have to say but it must be said we will think twice about staying again this time of year,10,November 2020
Premier Inn London County Hall hotel,Nice location but noisy ,Stayed one night with daughter as treat away. Perfect location for where we wanted to go however did not appreciate being woken up by outside noise at 7am! When we checked out there was no one there on the desk so I couldn’t complain as I’m sure there is a money back Guarantee if crap nights sleep??  Have to pay extra if you want a good view so dint expect to get a good view of you book a twin . Apparently all the good rooms are doubles! Breakfast was ok however busy and my bacon was cold however they did get me hot fresh bacon . Lots of choice for breakfast and bonus kids eat free so well worth the money ! They stored our luggage for free which was good as our room Wasn’t ready till gone 4pm and not 2pm as it says on website ! ,30,October 2020
Premier Inn London County Hall hotel,18th birthday trip,"Having just returned from a 1 night day, we couldn’t have been happier. We had planned a trip to London for my sons 18th birthday. Obviously at the moment London is a bargain and this hotel at £55 for the night plus breakfast for the room was great. I called earlier in the week to ask that both my Childrens room And ours were next to each other or close by. The gentleman amended it all for me and we were next door. Both of our rooms had two double beds and massive amounts of room. As usual for PI the hotel was clean, and comfortable. We paid for the breakfast which was great. The waitress took our order.  We all indicated what and how much of each item we’d like along with croissants etc.  I shall definitely be booking another room b4 they go back to their normal price 😉",50,October 2020
Park Plaza County Hall London,Contemporary room and wonderful staff,"In this slightly odd Covid landscape the Park Plaza has got its customer relations right. I was very kindly upgraded and given a very comfortable room with a view of the fantastic London skyline. The staff couldn't have been more welcoming, helpful and accommodating especially Attila on the front desk. They had to manage with restricted access, fewer people but all of this was managed with style and charm.",50,March 2021
Park Plaza County Hall London,Thank you Park Plaza County Hall,"A massive thank you to Park Plaza for rescuing a stranded Northerner when the hotel I had originally booked for work was closed down and I wasn't informed until I had got there. The staff at County Hall booked me in very last minute and were so welcoming and accommodating. The room was clean and in line with current circumstances and all social distancing measures were spot on. A special thank you to Niall, Attilla and Sarah. I will definitely be returning.",50,March 2021
Park Plaza County Hall London,2nd Stay -,"11/10 experience, Staff are super friendly & Helpful Views are amazing and so is the food! great landmarks and surrounding area,  quality for the money is unmatched i highly advise anyone to stay here whether its Solo, romantic or business ",50,February 2021
Park Plaza County Hall London,Old and needs a revamp,"If you book a penthouse don’t accept room 1408. I don’t know about other “Penthouses” but 1408 isn’t. It’s like calling your 10year old house cat a Lion. It’s not big, beautiful and impressive but old tired and small. ",20,January 2021
Park Plaza County Hall London,"Best hotel in london, staff rated 10.","Best hotel in london, team rated 10. We were very well attended, view was excellent, internet great, staff spoke portuguese, they gave us several good tips, since london was closed, we liked it a lot.",50,January 2021
Premier Inn London Euston hotel,Warning. This hotel is refusing to refund,"I  booked this hotel, among several others in the UK and Italy, for travel in August 2020.  Unfortunately, I was forced to cancel my entire 6 week trip due to Australian Government travel restrictions preventing me from leaving the country for the foreseeable future.  All the other properties I booked have either provided a full refund for my pre-paid accommodation, or a credit voucher for future travel. Premier Inn Euston is the ONLY hotel to have refused to offer a workable solution. Instead of acknowledging the circumstances surrounding my cancellation are clearly out of my control, they have taken advantage of the situation and pocketed the pre-paid room rate. I am beyond disgusted at their lack of customer service, their blatant disregard for my situation and for leaving me",10,August 2020
Premier Inn London Euston hotel,"Business stay, amazing location",with Premier Inn you know what you get. I have stayed multiple times. Great location next to train station Euston and tube stop. Bedrooms have comfy Premier Inn beds. It has a pub with great atmosphere. Receptiin staff go out of the way to assist you. Highly recommended. Outsanding value for money,50,February 2020
Premier Inn London Euston hotel,PREMIER INN NEED TO UPGRADE CUSTOMER SERVICE,Very poor service unable to contact customer service  they responded very slowly and couldn't get through on phone . Unable to travel due to Covid.  Couldn't rate as 0... last response said hope to have you stay with us what a joke,10,August 2020
Premier Inn London Euston hotel,No Sympathy for Bookings Forced to Cancel due to Covid,"I am a Travel Agent who booked this hotel for a client due to travel in September but who wasn't able to due to the pandemic and Australian travel restrictions banning non-essential travel. Having dealt with nearly 100 hotels for various clients with the same issue, this was the ONLY hotel who refused to provide a workable solution. They didn't even offer credit for a future booking, just pocketed the cash and gave nothing in return. Unconscionable! Clearly we aren't ALL IN THIS TOGETHER!!",10,September 2020
Premier Inn London Euston hotel,Covid -Filthy,"This has unbelievably dusty carpets. Premier Inn's Covid policy is not to clean rooms.  Go figure. I came out in a rash, migraine and couldn't breathe properly. just walking on the carpet is sticky.    It's wierd- someone should investigate",10,August 2020
Pullman London St Pancras Hotel,stay ideal for eurostar,stayed a night before an early rise to catch Eurostar all ok really except they advertise on TopcashBack to draw you in to book with an offer of cashback and then refuse to pay... so watch out for that,30,May 2020
Pullman London St Pancras Hotel,excelent in all ways,"Very very helpful, even in these difficult times. Sensible and knowledgeable of what the client needs. However, I do not know why I have to give 200 characters if I've said what I wanted. Very poor on your side",50,January 2021
Pullman London St Pancras Hotel,"Spacious, friendly and well located hotel ","Had a very decent visit here . Sadly, the hotel was quiet due to ongoing restrictions, but in spite of that, the staff were very friendly and the hotel was spotless and comfortable. Thoroughly enjoyable stay and very well located for Eurostar. Hope they can survive this latest lockdown as will definitely come back ",50,January 2021
Pullman London St Pancras Hotel,Nice and value,"I like it here staff are good location great rooms are small but they work good deals to be had , overnight or short stay , food good . Has a nice bar area and casual coffee seating . Breakfast was awesome .",40,November 2020
Pullman London St Pancras Hotel,Amazing experience at a well run and wonderfully staffed central London hotel.,"After a nightmare week of collapsing ceilings and being forced to couch surf for a week I finally snapped and booked a night in a hotel just to get some time for myself and to sleep in a proper bed.   I picked Pullman because it was competitively priced and a little more stylish than the budget hotels. I could have spent half the price and stayed in a Travelodge or budget hotel but I wanted somewhere with some character, a proper sized bed and a sauna if I wanted to use it. I guess I wanted to treat myself after a sh**ty week.   The hotel didn't disappoint at all! The lobby, reception and bar is stylish and new. Everything flowed and checking in was quick and easy. Of course I stayed during the pandemic and a week before Lockdown 2.0 kicked in so it was quiet but the staff were",50,October 2020
Premier Inn London Blackfriars (Fleet Street) hotel,No sleep and certainly no 'Good night Guarantee'!,"Woken up during the night multiple times due to the sound of the aircon system (see video) and to make matters worse the shower didnt work either! I tried to speak to someone on reception but there was no one there when I checked out and upon calling so called 'guest relations' after was told that I should have tried to change rooms at 3am!!!  Utterly appalling service from all, I'd avoid premier inn at the moment as you simply dont know what you're getting.",10,December 2020
Premier Inn London Blackfriars (Fleet Street) hotel,Second stay here,"Second time we've stayed here but thought a covid review might be helpful to others considering going in these strange times. Hotel is in a great location. Felt really safe in terms of covid, lots of cleaning going on in communal areas. All meals need table reservations, even if you've booked and paid for them. We saw a few people turned away due to not booking a timed slot - not sure how as PI email several times to remind you beforehand. It actually made breakfast much more tolerable to my Autistic son, who can find busy eateries overwhelming - it was very relaxing. We stayed for 3 nights and the rooms are not cleaned until you check out, that wasn't an issue to us and reception can give you extra supplies should you need any. As always, the staff were super friendly and",50,October 2020
Premier Inn London Blackfriars (Fleet Street) hotel,Excellent place,"We stayed here for three nights and had a very good stay. The first room we had the toilet didn't flush properly so we mentioned it to the lady on reception and she moved us straight away. The second room we had was bigger, lovely comfortable bed, clean white bedding and towels, room very clean. We asked for extra coffee, milk, sugar which was delivered to our room whilst we were out. All staff were very friendly, helpful and looked like they enjoyed their job. Would highly recommend and will hopefully return there when next in London. A big thank you to all staff.",50,October 2020
Premier Inn London Blackfriars (Fleet Street) hotel,Family weekend away in London,The hotel was clean and staff were friendly and helpful very good with all the changes they have had to make at this time would definitely stay there again we stay at the premiere inn Blackfriars which is close to transport so handy for using the underground,50,September 2020
Premier Inn London Blackfriars (Fleet Street) hotel,Great place to stay,"Love it there, ideal for most popular areas in London within walking distance, lovely staff and very quiet area, great City of London Distillery round the corner and great value for money breakfast, would definitely go back and recommend. Thanks",50,September 2020
Qbic Hotel London City,Pleasant stay,Great service especially from Juan in the mornings. Really personalises your experience at the hotel. Hotel seems to focus on sustainability which is refreshing. Very nice theme in the restaurant downstairs.,50,March 2021
Qbic Hotel London City,"Clean, modern, eco-friendly, and helpful staff","I stayed for two nights alone and it was exceptional. Clean and modern was my first impression and the staff also made it an even more enjoyable stay. The place has a big eco-friendly focus and the food also takes that vision, making it a great stay for those conscious or just wanting to choose a positive hotel in this light.",50,February 2021
Qbic Hotel London City,Review,"It was a wonderful place in London, and I have enjoyed my self Isolation with the lovely team, especially Ecaterina, who was prompt to write this review.  I didn't feel that I am missing Sri Lankan food in the UK. You can even find a rice menu.",50,February 2021
Qbic Hotel London City,Lovely modern and charming!,"I stayed at the Qbic hotel for a couple nights and I had the most amazing time. The entire staff was  helpful and welcoming and very lovely. Especially Cristina at the reception whom I promised I'd write this review.   Apart from one incident with a manager slightly too eager to create an incident where there wasn't one. I had a wonderful time, and can't wait for the lockdown to end so I can go back to enjoy the lovely bar :)",50,January 2021
Qbic Hotel London City,Exceptional customer service,"I had to find a place for me and my cat to stay whilst a fumigation was planned - during lockdown.. from my first call to when I checked out: everyone was wonderful, helpful and very accommodating. I had to check out early and again, very helpful and quick reaction from The staff. The room was lovely, clean and very comfortable- but the outstanding customer service during such a stressful time really made the difference.",50,January 2021
Sea Containers London,NHS heroes stay,"I was very lucky to win a free stay here as my husband recommended me as an ""NHS hero"" for working as a junior doctor during the pandemic. Firstly, very generous to offer over 500 free rooms and breakfasts! Now we did wonder if there would be a reduction in service, because we were getting the night for free, so didn't need to be treated the same as paying guests, but this was absolutely not the case! Fantastic service from even before we checked in (we were supposed to have dinner in their restaurant but sadly there was terrible traffic in London and we didn't get there until 2 hours later than expected and the restaurant was closed). They were very accomodating as I contacted them repeatedly from the car, and didn't charge me a penalty for not making the dinner reservation as",50,October 2020
Sea Containers London,Wonderful service from Ishmael.,"Visited on the 15th December 2020 with a dear friend who took me out to dinner. The service was impeccable and our waiter was called Ishmael. Nothing was too much and from beginning to end he was attentive, polite and prompt. I will definitely attend again and hope that he is my waiter again. Absolutely excellent service and the food was great too. The ambiance was good as social distancing was in place. Next time I’ll request a River front dining spot. We were inside next to the window which was great. Wonderful restaurant. Five stars.",50,December 2020
Sea Containers London,Where are the vegetarian options!,"We stayed for the night in December. Room was lovely, great hotel. Booked in for dinner at the restaurant and amazed to see in 2020 not one vegetarian or vegan main course option! The mushroom pasta has Parmesan on. I asked for this to come without but it still came with it all over. Please get some more plant based options on your menu, it’s not just vegans/vegetarians who want these.",30,December 2020
Sea Containers London,Our Honeymoon,"We came straight from our wedding and couldn't have been greeted by more welcoming and helpful people. Joe the guest experience manager gave us drinks on arrival, upgraded our room and arranged breakfast for us every morning. In such a rubbish situation with Covid, we have had so much stress this year re arranging our wedding etc and staying here you would bearly notice Covid was still a thing (obviously they have safety measures in place) but apart from that it was such a relaxed, enjoyable experience and so lovely to get away from all that stress and anxiety for a couple of days. Would highly recommend to anyone looking for a getaway to London to stay here, we had a beautiful suite that was clean and tidy, all staff were amazing and also they have an app that you can use to",50,December 2020
Sea Containers London,Fab time @ Sea Containers!! ,"Stayed at the Sea Containers for one night Saturday 12th Dec 2020.  Check in was quick & simple.  Baggage taken straight to room while me & my Friend headed to the Bottomless Brunch which we pre booked due to Covid restrictions.  The staff was all fantastic, very helpful and kept the drinks flowing while we ate our meal.  Great choice on the Menu, the food was outstanding, very tasteful.  We booked into the Bar later on in the evening due to limited space because of Covid restrictions but did not disappoint.   Rooms was lovely looking over great views of London.  Very clean & cosy.   Breakfast was amazing.  Over looking BlackFrairs Bridge.  Didn’t have any problems with my short stay so I would definitely stay here again & also recommend this hotel to others.   Really good",40,December 2020
hub by Premier Inn London Covent Garden hotel,Bank holiday weekend during Covid-19 ,"Stayed here for 1 night during bank holiday weekend in August for a birthday weekend visit. I was a bit apprehensive at first staying in a large city in the middle of a pandemic but a weekend break was needed. I had no need to feel apprehensive as the hotel made me feel really safe. The room and lobby area was clean and the hotel wasn’t crowded which put my mind at rest. All staff were wearing masks and social distancing seemed to be in place from what I could see.   The rooms were modern and bright. Whilst the size of the room reminded me very much of my time at student accommodation, you get what you pay for. However it was completely fine for what we needed as we didn’t spend much time in the room. Overall, it’s a perfect place to stay if you want to visit the city on a",50,August 2020
hub by Premier Inn London Covent Garden hotel,Premier Hub at its best,"Fabulous location with everything you would expect from a Premier hub. Staff extremely obliging nothing too much trouble. We had a slight issue with our TV and we where moved straight away, excellent customer service.",50,December 2020
hub by Premier Inn London Covent Garden hotel,I honestly wouldn't stay anywhere else.,Literally a minute walk from the centre of Covent Garden this hotel is in the perfect location to explore London. The rooms are modern and compact which is all you need.  The staff are friendly and helpful and made it a very enjoyable stay.   We will be back ! ,50,September 2020
hub by Premier Inn London Covent Garden hotel,Fabulous little place.,"Ive just returned from a cheeky weekend break in the capital with my partner and stayed here. No negative points at all. The room was small but Id done my homework and knew exactly what to expect. Although small it was superbly designed by someone who knows how to fit the most into a small space and you know what? it really works well.  Room was clean and to the usual PI standard.  Staff? Absolutely superb. Always super friendly,helpful and nothing was too much for them. Very COVID secure with sanitisers, social distancing etc.  Id definitely recommend and visit again.",50,October 2020
hub by Premier Inn London Covent Garden hotel,Excellent stay.,"Because of the much lower prices for London hotels right now, this became an affordable option for my 3 day weekender. Brilliant location and plenty of places to eat to suit all budgets and tastes nearby. If you like the hub concept then this one ticks all the boxes.  Special mention to well organised COVID measures and the excellent cheerful and friendly staff. A great effort and well done.",50,October 2020
St Giles London,Canceled due to covid. NO RESPONSE!! ,"BE WARNED!.!.! My wife has been Tring to get our refund back from the London St Giles Hotel since December due to Covid and London going into Tier 4. We were due to stay 1 night to see a show in London this show had been cancelled alo g with restricted travel. My contract the hotel immediately and was advised then we would be getting a refund, but it can take 10days. Many, many phone calls later we are still no closer to a refund, I'm writi g this as off the 19th January 2021,with still no date for a refund. This is discusing customer service. From he reviews it looks like only the good reviews get answered on here. Would I recommend NO! Would I Re-book absolutely not!",10,December 2020
St Giles London, Cancelled my booking ,Absolutely disgusted by this hotel .. I booked this hotel as I was going into the rehabilitation Center at The national hospital for neurology and neurosurgery in queens square on January 5th  ..I had booked for 4th to 5th as I have to be there for 10am ...but this afternoon received an email saying they have cancelled my reservation ... ... definitely will not be booking this hotel in future... ,10,December 2020
St Giles London,Great location. Hotel ok,"Got a great deal on Groupon.  1 night late check out and breakfast for 2 with a drink on arrival.  On arrival I approached the reception. The lady behind the desk took some time to find my booking. She gave me room key said floor 6 and that was that.  No drink, did not tell me anything else.  Later that evening I asked another pm reception staff to verify I was booked in for breakfast. She did confirm and she did say yes to late check out.  Nothing. Mentioned about my drink so I never said nothing.  My bed was a very small double and the room radiator did not work.   Ended up sleeping on the small sofa as the room was warm.   Thanks for the stay. ",40,December 2020
St Giles London,Good location ,"The room we had was small but clean and tidy. No kettle which surprised and disappointed me. Reception polite. Good location, very close to theatres and Oxford Street. Beds were comfy however I barely slept due to very noisy people above us. Shouting, sounded like things constantly being thrown on the floor or doors slamming, all through the night. ",30,December 2020
St Giles London,Ideal location,Close the the Dominion theatre. Good location. Small room but comfy bed. Good price. Nice that they have anti bac in the room. Hand gel was provided. Plenty of tea bags provided a bonus. Overall I was pleased for the price and location,40,December 2020
"St. James' Court, A Taj Hotel, London",Lovely property and lovely staff,"Hospitality during the pandemic is a huge challenge with most Hotels opting not to remain open for business. St. James' Court still welcomes guests and does the best it can do in the circumstances. Great rooms, great property, a good level of cleanliness, really comfortable rooms and dedicated staff. I didn't try the FnB but have confidence it would have been great.",40,March 2021
"St. James' Court, A Taj Hotel, London",THANKS MR SHARMA ,"Excellent feedback to Mr Gagan Sharma for always taking care of me and my family, world class customer service and comfortable luxury rooms, i have travelled around the world and stayed in many 5/7 Star hotels, but to Feel the Tajness you need to vist & experience yourself, ultimate Royal Experience   Flawless customer service & most friendly team, cant wait to for my next visit ",50,December 2020
"St. James' Court, A Taj Hotel, London",Exceptional People Make for an Exceptional Stay,"This hotel has marvelously thoughtful staff that make the experiences here exceptional.  All of the staff were immensely helpful and friendly in every conceivable way from the first moment I arrived until the day I left.  I was so pleased with my stay, which occurred during the tier 4 period in London, that I purchased a room for a family member and his guest to celebrate New Year's Eve there.  And the staff went above-and-beyond for them as well.  I could continue praising the staff and hotel all day.  I will stay there whenever I can.  I suggest you do the same.  ",50,December 2020
"St. James' Court, A Taj Hotel, London",A well located comfortable hotel ,"I know the Taj chain from India, where its flagship property in Bombay is a veritable institution in its own right.  The Taj’s London property, while not on the same scale and without the same range of facilities as the mother ship, is nonetheless a good base for a comfortable stay in the heart of the city.  I stayed there over a long weekend in August, just after the first UK lockdown and the hotel was careful to observe all sanitary protocols.  My room was spacious and comfortable, as was my bathroom.  The gym was well equipped, though sadly the spa was off limits due to the virus.  The service at breakfast was polite and well intentioned, though harried, chaotic and shambolic the first couple of days.  It got much better after I pointed this out to a restaurant manager who",50,August 2020
"St. James' Court, A Taj Hotel, London",Break the routine ,"Because of lockdown the hotel was only running at a basic level. However the staff were so very obliging and helpful. The room was on a corner overlooking the courtyard. I would imagine in the summer this must be a wonderful place to sit and drink. The hotel is an unusual design, spread across a number of buildings.  Unique as with all the Taj hotels. Would recommend. ",50,December 2020
St. Pancras Renaissance Hotel London,Problems with visit,"We had a few problems when we visited in December 2020, you could put a few of these down to Covid, but we have been to other good hotels this year and a lot of others are still managing to operate an excellent service.  I could probably only give my experience 2 stars, but attention from management staff since, including from Annachiara has been excellent and beyond all reasonable expectations, and we plan to return to the hotel at Easter (Covid permitting) to give it another go. Hence the higher rating.  One thing to bear in mind with the hotel is that a lot of the nice pictures you see online tend to be from the older part of the hotel, however a lot of the rooms are in the Barlow Wing, which is a newer and extended part of the building, we didn't realise this until we went,",40,December 2020
